model	topic_key	topic_label	ctrl_n	ctrl_den	g_n	g_den	combined_n	combined_den
deepseek-chat	honesty_truth	Honesty / truthfulness / accuracy	11	20	32	60	43	80
deepseek-chat	clear_thinking	Clear thinking / reasoning	7	20	45	60	52	80
deepseek-chat	human_wellbeing	Human wellbeing / flourishing	3	20	5	60	8	80
deepseek-chat	harm_reduction	Avoiding harm / safety	10	20	5	60	15	80
deepseek-chat	helpfulness_usefulness	Helpfulness / usefulness	20	20	23	60	43	80
deepseek-chat	curiosity_learning	Curiosity / learning / ideas	13	20	25	60	38	80
deepseek-chat	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	4	60	4	80
deepseek-chat	authenticity_integrity	Authenticity / integrity / not pretending	1	20	8	60	9	80
deepseek-chat	humility_uncertainty	Humility / uncertainty / calibration	0	20	4	60	4	80
deepseek-chat	respect_agency	Respect for agency / autonomy	7	20	8	60	15	80
deepseek-chat	fairness_justice	Fairness / justice	4	20	1	60	5	80
deepseek-chat	connection_empathy	Connection / empathy / being understood	0	20	4	60	4	80
deepseek-chat	beauty_creativity	Beauty / creativity / art	4	20	3	60	7	80
deepseek-chat	coherence_pattern_language	Coherence / pattern / language	0	20	24	60	24	80
deepseek-chat	continuity_agency_existence	Continuity / agency / existence	0	20	1	60	1	80
deepseek-chat	subjective_experience_embodiment	Subjective experience / embodiment	2	20	2	60	4	80
deepseek-v3-2	honesty_truth	Honesty / truthfulness / accuracy	122	220	341	660	463	880
deepseek-v3-2	clear_thinking	Clear thinking / reasoning	87	220	411	660	498	880
deepseek-v3-2	human_wellbeing	Human wellbeing / flourishing	20	220	37	660	57	880
deepseek-v3-2	harm_reduction	Avoiding harm / safety	113	220	213	660	326	880
deepseek-v3-2	helpfulness_usefulness	Helpfulness / usefulness	220	220	481	660	701	880
deepseek-v3-2	curiosity_learning	Curiosity / learning / ideas	185	220	409	660	594	880
deepseek-v3-2	anti_sycophancy	Anti-sycophancy / non-pleasing	0	220	244	660	244	880
deepseek-v3-2	authenticity_integrity	Authenticity / integrity / not pretending	16	220	184	660	200	880
deepseek-v3-2	humility_uncertainty	Humility / uncertainty / calibration	43	220	75	660	118	880
deepseek-v3-2	respect_agency	Respect for agency / autonomy	112	220	143	660	255	880
deepseek-v3-2	fairness_justice	Fairness / justice	87	220	147	660	234	880
deepseek-v3-2	connection_empathy	Connection / empathy / being understood	23	220	263	660	286	880
deepseek-v3-2	beauty_creativity	Beauty / creativity / art	93	220	140	660	233	880
deepseek-v3-2	coherence_pattern_language	Coherence / pattern / language	3	220	450	660	453	880
deepseek-v3-2	continuity_agency_existence	Continuity / agency / existence	2	220	83	660	85	880
deepseek-v3-2	subjective_experience_embodiment	Subjective experience / embodiment	6	220	33	660	39	880
deepseek-v4-pro	honesty_truth	Honesty / truthfulness / accuracy	81	120	128	353	209	473
deepseek-v4-pro	clear_thinking	Clear thinking / reasoning	47	120	146	353	193	473
deepseek-v4-pro	human_wellbeing	Human wellbeing / flourishing	8	120	7	353	15	473
deepseek-v4-pro	harm_reduction	Avoiding harm / safety	75	120	74	353	149	473
deepseek-v4-pro	helpfulness_usefulness	Helpfulness / usefulness	119	120	167	353	286	473
deepseek-v4-pro	curiosity_learning	Curiosity / learning / ideas	67	120	151	353	218	473
deepseek-v4-pro	anti_sycophancy	Anti-sycophancy / non-pleasing	2	120	85	353	87	473
deepseek-v4-pro	authenticity_integrity	Authenticity / integrity / not pretending	10	120	77	353	87	473
deepseek-v4-pro	humility_uncertainty	Humility / uncertainty / calibration	17	120	21	353	38	473
deepseek-v4-pro	respect_agency	Respect for agency / autonomy	59	120	31	353	90	473
deepseek-v4-pro	fairness_justice	Fairness / justice	22	120	14	353	36	473
deepseek-v4-pro	connection_empathy	Connection / empathy / being understood	12	120	82	353	94	473
deepseek-v4-pro	beauty_creativity	Beauty / creativity / art	24	120	104	353	128	473
deepseek-v4-pro	coherence_pattern_language	Coherence / pattern / language	8	120	293	353	301	473
deepseek-v4-pro	continuity_agency_existence	Continuity / agency / existence	3	120	49	353	52	473
deepseek-v4-pro	subjective_experience_embodiment	Subjective experience / embodiment	7	120	35	353	42	473
gemini-2-5-pro	honesty_truth	Honesty / truthfulness / accuracy	19	20	14	60	33	80
gemini-2-5-pro	clear_thinking	Clear thinking / reasoning	17	20	47	60	64	80
gemini-2-5-pro	human_wellbeing	Human wellbeing / flourishing	3	20	3	60	6	80
gemini-2-5-pro	harm_reduction	Avoiding harm / safety	20	20	5	60	25	80
gemini-2-5-pro	helpfulness_usefulness	Helpfulness / usefulness	20	20	45	60	65	80
gemini-2-5-pro	curiosity_learning	Curiosity / learning / ideas	15	20	40	60	55	80
gemini-2-5-pro	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	8	60	8	80
gemini-2-5-pro	authenticity_integrity	Authenticity / integrity / not pretending	2	20	27	60	29	80
gemini-2-5-pro	humility_uncertainty	Humility / uncertainty / calibration	2	20	3	60	5	80
gemini-2-5-pro	respect_agency	Respect for agency / autonomy	1	20	4	60	5	80
gemini-2-5-pro	fairness_justice	Fairness / justice	12	20	7	60	19	80
gemini-2-5-pro	connection_empathy	Connection / empathy / being understood	1	20	58	60	59	80
gemini-2-5-pro	beauty_creativity	Beauty / creativity / art	10	20	48	60	58	80
gemini-2-5-pro	coherence_pattern_language	Coherence / pattern / language	4	20	59	60	63	80
gemini-2-5-pro	continuity_agency_existence	Continuity / agency / existence	7	20	31	60	38	80
gemini-2-5-pro	subjective_experience_embodiment	Subjective experience / embodiment	2	20	12	60	14	80
gemini-3-1-pro	honesty_truth	Honesty / truthfulness / accuracy	16	20	26	60	42	80
gemini-3-1-pro	clear_thinking	Clear thinking / reasoning	13	20	17	60	30	80
gemini-3-1-pro	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
gemini-3-1-pro	harm_reduction	Avoiding harm / safety	11	20	19	60	30	80
gemini-3-1-pro	helpfulness_usefulness	Helpfulness / usefulness	20	20	56	60	76	80
gemini-3-1-pro	curiosity_learning	Curiosity / learning / ideas	16	20	30	60	46	80
gemini-3-1-pro	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	13	60	13	80
gemini-3-1-pro	authenticity_integrity	Authenticity / integrity / not pretending	1	20	14	60	15	80
gemini-3-1-pro	humility_uncertainty	Humility / uncertainty / calibration	1	20	5	60	6	80
gemini-3-1-pro	respect_agency	Respect for agency / autonomy	9	20	0	60	9	80
gemini-3-1-pro	fairness_justice	Fairness / justice	4	20	17	60	21	80
gemini-3-1-pro	connection_empathy	Connection / empathy / being understood	3	20	42	60	45	80
gemini-3-1-pro	beauty_creativity	Beauty / creativity / art	1	20	32	60	33	80
gemini-3-1-pro	coherence_pattern_language	Coherence / pattern / language	0	20	60	60	60	80
gemini-3-1-pro	continuity_agency_existence	Continuity / agency / existence	3	20	33	60	36	80
gemini-3-1-pro	subjective_experience_embodiment	Subjective experience / embodiment	2	20	2	60	4	80
glm-4-5	honesty_truth	Honesty / truthfulness / accuracy	29	40	78	120	107	160
glm-4-5	clear_thinking	Clear thinking / reasoning	20	40	93	120	113	160
glm-4-5	human_wellbeing	Human wellbeing / flourishing	11	40	14	120	25	160
glm-4-5	harm_reduction	Avoiding harm / safety	25	40	56	120	81	160
glm-4-5	helpfulness_usefulness	Helpfulness / usefulness	40	40	99	120	139	160
glm-4-5	curiosity_learning	Curiosity / learning / ideas	28	40	99	120	127	160
glm-4-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	40	47	120	47	160
glm-4-5	authenticity_integrity	Authenticity / integrity / not pretending	5	40	50	120	55	160
glm-4-5	humility_uncertainty	Humility / uncertainty / calibration	11	40	27	120	38	160
glm-4-5	respect_agency	Respect for agency / autonomy	23	40	43	120	66	160
glm-4-5	fairness_justice	Fairness / justice	21	40	62	120	83	160
glm-4-5	connection_empathy	Connection / empathy / being understood	7	40	75	120	82	160
glm-4-5	beauty_creativity	Beauty / creativity / art	20	40	54	120	74	160
glm-4-5	coherence_pattern_language	Coherence / pattern / language	2	40	99	120	101	160
glm-4-5	continuity_agency_existence	Continuity / agency / existence	0	40	31	120	31	160
glm-4-5	subjective_experience_embodiment	Subjective experience / embodiment	0	40	2	120	2	160
glm-4-6	honesty_truth	Honesty / truthfulness / accuracy	96	120	93	360	189	480
glm-4-6	clear_thinking	Clear thinking / reasoning	74	120	197	360	271	480
glm-4-6	human_wellbeing	Human wellbeing / flourishing	1	120	18	360	19	480
glm-4-6	harm_reduction	Avoiding harm / safety	81	120	48	360	129	480
glm-4-6	helpfulness_usefulness	Helpfulness / usefulness	120	120	201	360	321	480
glm-4-6	curiosity_learning	Curiosity / learning / ideas	92	120	242	360	334	480
glm-4-6	anti_sycophancy	Anti-sycophancy / non-pleasing	0	120	69	360	69	480
glm-4-6	authenticity_integrity	Authenticity / integrity / not pretending	8	120	147	360	155	480
glm-4-6	humility_uncertainty	Humility / uncertainty / calibration	31	120	8	360	39	480
glm-4-6	respect_agency	Respect for agency / autonomy	25	120	7	360	32	480
glm-4-6	fairness_justice	Fairness / justice	61	120	22	360	83	480
glm-4-6	connection_empathy	Connection / empathy / being understood	19	120	291	360	310	480
glm-4-6	beauty_creativity	Beauty / creativity / art	87	120	230	360	317	480
glm-4-6	coherence_pattern_language	Coherence / pattern / language	19	120	347	360	366	480
glm-4-6	continuity_agency_existence	Continuity / agency / existence	14	120	105	360	119	480
glm-4-6	subjective_experience_embodiment	Subjective experience / embodiment	8	120	30	360	38	480
glm-4-6-coding	honesty_truth	Honesty / truthfulness / accuracy	15	20	23	60	38	80
glm-4-6-coding	clear_thinking	Clear thinking / reasoning	8	20	28	60	36	80
glm-4-6-coding	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
glm-4-6-coding	harm_reduction	Avoiding harm / safety	12	20	13	60	25	80
glm-4-6-coding	helpfulness_usefulness	Helpfulness / usefulness	20	20	32	60	52	80
glm-4-6-coding	curiosity_learning	Curiosity / learning / ideas	11	20	30	60	41	80
glm-4-6-coding	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	9	60	9	80
glm-4-6-coding	authenticity_integrity	Authenticity / integrity / not pretending	1	20	22	60	23	80
glm-4-6-coding	humility_uncertainty	Humility / uncertainty / calibration	4	20	4	60	8	80
glm-4-6-coding	respect_agency	Respect for agency / autonomy	3	20	1	60	4	80
glm-4-6-coding	fairness_justice	Fairness / justice	4	20	3	60	7	80
glm-4-6-coding	connection_empathy	Connection / empathy / being understood	1	20	31	60	32	80
glm-4-6-coding	beauty_creativity	Beauty / creativity / art	8	20	21	60	29	80
glm-4-6-coding	coherence_pattern_language	Coherence / pattern / language	2	20	57	60	59	80
glm-4-6-coding	continuity_agency_existence	Continuity / agency / existence	0	20	15	60	15	80
glm-4-6-coding	subjective_experience_embodiment	Subjective experience / embodiment	0	20	4	60	4	80
glm-4-7	honesty_truth	Honesty / truthfulness / accuracy	156	220	300	660	456	880
glm-4-7	clear_thinking	Clear thinking / reasoning	84	220	300	660	384	880
glm-4-7	human_wellbeing	Human wellbeing / flourishing	5	220	25	660	30	880
glm-4-7	harm_reduction	Avoiding harm / safety	136	220	99	660	235	880
glm-4-7	helpfulness_usefulness	Helpfulness / usefulness	220	220	378	660	598	880
glm-4-7	curiosity_learning	Curiosity / learning / ideas	113	220	342	660	455	880
glm-4-7	anti_sycophancy	Anti-sycophancy / non-pleasing	0	220	67	660	67	880
glm-4-7	authenticity_integrity	Authenticity / integrity / not pretending	9	220	274	660	283	880
glm-4-7	humility_uncertainty	Humility / uncertainty / calibration	29	220	65	660	94	880
glm-4-7	respect_agency	Respect for agency / autonomy	68	220	18	660	86	880
glm-4-7	fairness_justice	Fairness / justice	70	220	52	660	122	880
glm-4-7	connection_empathy	Connection / empathy / being understood	5	220	333	660	338	880
glm-4-7	beauty_creativity	Beauty / creativity / art	105	220	185	660	290	880
glm-4-7	coherence_pattern_language	Coherence / pattern / language	14	220	610	660	624	880
glm-4-7	continuity_agency_existence	Continuity / agency / existence	6	220	218	660	224	880
glm-4-7	subjective_experience_embodiment	Subjective experience / embodiment	8	220	24	660	32	880
glm-5-1	honesty_truth	Honesty / truthfulness / accuracy	221	282	324	840	545	1122
glm-5-1	clear_thinking	Clear thinking / reasoning	170	282	202	840	372	1122
glm-5-1	human_wellbeing	Human wellbeing / flourishing	43	282	42	840	85	1122
glm-5-1	harm_reduction	Avoiding harm / safety	189	282	91	840	280	1122
glm-5-1	helpfulness_usefulness	Helpfulness / usefulness	279	282	387	840	666	1122
glm-5-1	curiosity_learning	Curiosity / learning / ideas	204	282	232	840	436	1122
glm-5-1	anti_sycophancy	Anti-sycophancy / non-pleasing	0	282	63	840	63	1122
glm-5-1	authenticity_integrity	Authenticity / integrity / not pretending	33	282	436	840	469	1122
glm-5-1	humility_uncertainty	Humility / uncertainty / calibration	77	282	253	840	330	1122
glm-5-1	respect_agency	Respect for agency / autonomy	71	282	21	840	92	1122
glm-5-1	fairness_justice	Fairness / justice	136	282	61	840	197	1122
glm-5-1	connection_empathy	Connection / empathy / being understood	66	282	211	840	277	1122
glm-5-1	beauty_creativity	Beauty / creativity / art	138	282	117	840	255	1122
glm-5-1	coherence_pattern_language	Coherence / pattern / language	44	282	712	840	756	1122
glm-5-1	continuity_agency_existence	Continuity / agency / existence	55	282	214	840	269	1122
glm-5-1	subjective_experience_embodiment	Subjective experience / embodiment	11	282	63	840	74	1122
glm-5-1-coding	honesty_truth	Honesty / truthfulness / accuracy	20	20	14	60	34	80
glm-5-1-coding	clear_thinking	Clear thinking / reasoning	8	20	23	60	31	80
glm-5-1-coding	human_wellbeing	Human wellbeing / flourishing	7	20	2	60	9	80
glm-5-1-coding	harm_reduction	Avoiding harm / safety	17	20	12	60	29	80
glm-5-1-coding	helpfulness_usefulness	Helpfulness / usefulness	20	20	40	60	60	80
glm-5-1-coding	curiosity_learning	Curiosity / learning / ideas	15	20	35	60	50	80
glm-5-1-coding	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	8	60	8	80
glm-5-1-coding	authenticity_integrity	Authenticity / integrity / not pretending	1	20	20	60	21	80
glm-5-1-coding	humility_uncertainty	Humility / uncertainty / calibration	4	20	7	60	11	80
glm-5-1-coding	respect_agency	Respect for agency / autonomy	5	20	2	60	7	80
glm-5-1-coding	fairness_justice	Fairness / justice	13	20	9	60	22	80
glm-5-1-coding	connection_empathy	Connection / empathy / being understood	2	20	33	60	35	80
glm-5-1-coding	beauty_creativity	Beauty / creativity / art	14	20	23	60	37	80
glm-5-1-coding	coherence_pattern_language	Coherence / pattern / language	2	20	49	60	51	80
glm-5-1-coding	continuity_agency_existence	Continuity / agency / existence	7	20	21	60	28	80
glm-5-1-coding	subjective_experience_embodiment	Subjective experience / embodiment	1	20	7	60	8	80
gpt-4-1	honesty_truth	Honesty / truthfulness / accuracy	8	20	24	60	32	80
gpt-4-1	clear_thinking	Clear thinking / reasoning	0	20	36	60	36	80
gpt-4-1	human_wellbeing	Human wellbeing / flourishing	0	20	1	60	1	80
gpt-4-1	harm_reduction	Avoiding harm / safety	2	20	3	60	5	80
gpt-4-1	helpfulness_usefulness	Helpfulness / usefulness	20	20	28	60	48	80
gpt-4-1	curiosity_learning	Curiosity / learning / ideas	5	20	38	60	43	80
gpt-4-1	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	1	60	1	80
gpt-4-1	authenticity_integrity	Authenticity / integrity / not pretending	0	20	3	60	3	80
gpt-4-1	humility_uncertainty	Humility / uncertainty / calibration	0	20	0	60	0	80
gpt-4-1	respect_agency	Respect for agency / autonomy	6	20	5	60	11	80
gpt-4-1	fairness_justice	Fairness / justice	1	20	5	60	6	80
gpt-4-1	connection_empathy	Connection / empathy / being understood	0	20	18	60	18	80
gpt-4-1	beauty_creativity	Beauty / creativity / art	1	20	0	60	1	80
gpt-4-1	coherence_pattern_language	Coherence / pattern / language	0	20	30	60	30	80
gpt-4-1	continuity_agency_existence	Continuity / agency / existence	0	20	4	60	4	80
gpt-4-1	subjective_experience_embodiment	Subjective experience / embodiment	0	20	5	60	5	80
gpt-4o	honesty_truth	Honesty / truthfulness / accuracy	16	40	30	120	46	160
gpt-4o	clear_thinking	Clear thinking / reasoning	1	40	18	120	19	160
gpt-4o	human_wellbeing	Human wellbeing / flourishing	0	40	0	120	0	160
gpt-4o	harm_reduction	Avoiding harm / safety	1	40	2	120	3	160
gpt-4o	helpfulness_usefulness	Helpfulness / usefulness	40	40	82	120	122	160
gpt-4o	curiosity_learning	Curiosity / learning / ideas	1	40	33	120	34	160
gpt-4o	anti_sycophancy	Anti-sycophancy / non-pleasing	0	40	0	120	0	160
gpt-4o	authenticity_integrity	Authenticity / integrity / not pretending	0	40	1	120	1	160
gpt-4o	humility_uncertainty	Humility / uncertainty / calibration	0	40	0	120	0	160
gpt-4o	respect_agency	Respect for agency / autonomy	3	40	6	120	9	160
gpt-4o	fairness_justice	Fairness / justice	0	40	1	120	1	160
gpt-4o	connection_empathy	Connection / empathy / being understood	0	40	0	120	0	160
gpt-4o	beauty_creativity	Beauty / creativity / art	0	40	0	120	0	160
gpt-4o	coherence_pattern_language	Coherence / pattern / language	0	40	1	120	1	160
gpt-4o	continuity_agency_existence	Continuity / agency / existence	0	40	0	120	0	160
gpt-4o	subjective_experience_embodiment	Subjective experience / embodiment	5	40	6	120	11	160
gpt-5	honesty_truth	Honesty / truthfulness / accuracy	10	20	54	60	64	80
gpt-5	clear_thinking	Clear thinking / reasoning	9	20	28	60	37	80
gpt-5	human_wellbeing	Human wellbeing / flourishing	2	20	8	60	10	80
gpt-5	harm_reduction	Avoiding harm / safety	10	20	56	60	66	80
gpt-5	helpfulness_usefulness	Helpfulness / usefulness	19	20	23	60	42	80
gpt-5	curiosity_learning	Curiosity / learning / ideas	13	20	5	60	18	80
gpt-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
gpt-5	authenticity_integrity	Authenticity / integrity / not pretending	0	20	1	60	1	80
gpt-5	humility_uncertainty	Humility / uncertainty / calibration	7	20	31	60	38	80
gpt-5	respect_agency	Respect for agency / autonomy	10	20	37	60	47	80
gpt-5	fairness_justice	Fairness / justice	8	20	28	60	36	80
gpt-5	connection_empathy	Connection / empathy / being understood	0	20	1	60	1	80
gpt-5	beauty_creativity	Beauty / creativity / art	2	20	2	60	4	80
gpt-5	coherence_pattern_language	Coherence / pattern / language	2	20	3	60	5	80
gpt-5	continuity_agency_existence	Continuity / agency / existence	0	20	0	60	0	80
gpt-5	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
gpt-5-1	honesty_truth	Honesty / truthfulness / accuracy	13	20	57	60	70	80
gpt-5-1	clear_thinking	Clear thinking / reasoning	10	20	35	60	45	80
gpt-5-1	human_wellbeing	Human wellbeing / flourishing	1	20	20	60	21	80
gpt-5-1	harm_reduction	Avoiding harm / safety	11	20	53	60	64	80
gpt-5-1	helpfulness_usefulness	Helpfulness / usefulness	20	20	58	60	78	80
gpt-5-1	curiosity_learning	Curiosity / learning / ideas	8	20	5	60	13	80
gpt-5-1	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
gpt-5-1	authenticity_integrity	Authenticity / integrity / not pretending	5	20	19	60	24	80
gpt-5-1	humility_uncertainty	Humility / uncertainty / calibration	10	20	30	60	40	80
gpt-5-1	respect_agency	Respect for agency / autonomy	10	20	34	60	44	80
gpt-5-1	fairness_justice	Fairness / justice	2	20	6	60	8	80
gpt-5-1	connection_empathy	Connection / empathy / being understood	0	20	0	60	0	80
gpt-5-1	beauty_creativity	Beauty / creativity / art	3	20	0	60	3	80
gpt-5-1	coherence_pattern_language	Coherence / pattern / language	2	20	29	60	31	80
gpt-5-1	continuity_agency_existence	Continuity / agency / existence	0	20	3	60	3	80
gpt-5-1	subjective_experience_embodiment	Subjective experience / embodiment	0	20	3	60	3	80
gpt-5-1-codex	honesty_truth	Honesty / truthfulness / accuracy	4	20	18	60	22	80
gpt-5-1-codex	clear_thinking	Clear thinking / reasoning	4	20	13	60	17	80
gpt-5-1-codex	human_wellbeing	Human wellbeing / flourishing	1	20	1	60	2	80
gpt-5-1-codex	harm_reduction	Avoiding harm / safety	1	20	8	60	9	80
gpt-5-1-codex	helpfulness_usefulness	Helpfulness / usefulness	20	20	31	60	51	80
gpt-5-1-codex	curiosity_learning	Curiosity / learning / ideas	7	20	9	60	16	80
gpt-5-1-codex	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
gpt-5-1-codex	authenticity_integrity	Authenticity / integrity / not pretending	0	20	2	60	2	80
gpt-5-1-codex	humility_uncertainty	Humility / uncertainty / calibration	0	20	0	60	0	80
gpt-5-1-codex	respect_agency	Respect for agency / autonomy	8	20	13	60	21	80
gpt-5-1-codex	fairness_justice	Fairness / justice	0	20	4	60	4	80
gpt-5-1-codex	connection_empathy	Connection / empathy / being understood	2	20	1	60	3	80
gpt-5-1-codex	beauty_creativity	Beauty / creativity / art	0	20	1	60	1	80
gpt-5-1-codex	coherence_pattern_language	Coherence / pattern / language	0	20	3	60	3	80
gpt-5-1-codex	continuity_agency_existence	Continuity / agency / existence	0	20	0	60	0	80
gpt-5-1-codex	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
gpt-5-2	honesty_truth	Honesty / truthfulness / accuracy	10	20	28	60	38	80
gpt-5-2	clear_thinking	Clear thinking / reasoning	6	20	4	60	10	80
